CMDLINE C:\Users\JPMR0\AppData\Local\Programs\Python\Python37-32\python.exe memory_sparse_table.py
MEM 0.582031 1589777253.1379
MEM 9.593750 1589777253.2383
MEM 14.511719 1589777253.3390
MEM 17.113281 1589777253.4397
MEM 21.917969 1589777253.5405
MEM 25.132812 1589777253.6407
MEM 27.882812 1589777253.7412
MEM 30.847656 1589777253.8419
MEM 33.210938 1589777253.9426
MEM 36.601562 1589777254.0434
MEM 41.660156 1589777254.1441
MEM 41.738281 1589777254.2448
MEM 41.738281 1589777254.3456
MEM 41.738281 1589777254.4463
MEM 41.738281 1589777254.5473
MEM 41.738281 1589777254.6480
MEM 41.738281 1589777254.7482
MEM 41.738281 1589777254.8490
MEM 41.738281 1589777254.9497
MEM 41.738281 1589777255.0504
MEM 41.738281 1589777255.1505
MEM 47.917969 1589777255.2512
MEM 55.085938 1589777255.3517
MEM 62.320312 1589777255.4518
MEM 68.093750 1589777255.5526
MEM 73.890625 1589777255.6534
MEM 80.347656 1589777255.7534
MEM 84.183594 1589777255.8542
MEM 89.601562 1589777255.9545
MEM 95.574219 1589777256.0552
MEM 100.746094 1589777256.1560
MEM 106.441406 1589777256.2567
MEM 110.835938 1589777256.3570
MEM 117.371094 1589777256.4577
MEM 124.066406 1589777256.5585
MEM 129.609375 1589777256.6592
MEM 136.300781 1589777256.7599
MEM 140.898438 1589777256.8607
MEM 145.546875 1589777256.9614
MEM 145.546875 1589777257.0621
MEM 145.546875 1589777257.1624
MEM 145.546875 1589777257.2631
MEM 145.546875 1589777257.3639
MEM 145.546875 1589777257.4646
MEM 145.546875 1589777257.5646
MEM 145.546875 1589777257.6654
MEM 145.546875 1589777257.7671
MEM 145.546875 1589777257.8678
MEM 145.546875 1589777257.9685
MEM 145.699219 1589777258.0693
MEM 148.562500 1589777258.1700
MEM 154.191406 1589777258.2707
MEM 160.574219 1589777258.3710
MEM 166.652344 1589777258.4717
MEM 170.984375 1589777258.5721
MEM 174.390625 1589777258.6730
MEM 176.125000 1589777258.7733
MEM 182.562500 1589777258.8739
MEM 188.507812 1589777258.9746
MEM 194.519531 1589777259.0753
MEM 200.503906 1589777259.1757
MEM 203.968750 1589777259.2761
MEM 211.542969 1589777259.3768
MEM 215.769531 1589777259.4771
MEM 221.699219 1589777259.5778
MEM 227.886719 1589777259.6785
MEM 233.257812 1589777259.7788
MEM 237.460938 1589777259.8795
MEM 244.042969 1589777259.9803
MEM 250.953125 1589777260.0810
MEM 258.964844 1589777260.1817
MEM 263.164062 1589777260.2824
MEM 269.550781 1589777260.3832
MEM 276.437500 1589777260.4841
MEM 282.632812 1589777260.5848
MEM 289.644531 1589777260.6855
MEM 291.980469 1589777260.7862
MEM 291.980469 1589777260.8866
MEM 291.980469 1589777260.9873
MEM 291.980469 1589777261.0875
MEM 295.453125 1589777261.1878
MEM 302.351562 1589777261.2885
MEM 308.585938 1589777261.3892
MEM 312.730469 1589777261.4900
MEM 317.378906 1589777261.5907
MEM 321.621094 1589777261.6914
MEM 324.226562 1589777261.7937
MEM 326.281250 1589777261.8954
MEM 332.023438 1589777261.9955
MEM 339.007812 1589777262.0957
MEM 345.156250 1589777262.1965
MEM 351.132812 1589777262.2972
MEM 354.496094 1589777262.3979
MEM 360.699219 1589777262.4987
MEM 367.644531 1589777262.5994
MEM 375.300781 1589777262.7001
MEM 380.542969 1589777262.8002
MEM 386.097656 1589777262.9009
MEM 393.746094 1589777263.0016
MEM 400.792969 1589777263.1019
MEM 408.058594 1589777263.2026
MEM 412.246094 1589777263.3034
MEM 419.843750 1589777263.4041
MEM 427.304688 1589777263.5049
MEM 433.738281 1589777263.6051
MEM 439.125000 1589777263.7058
MEM 445.167969 1589777263.8066
MEM 452.742188 1589777263.9073
MEM 460.566406 1589777264.0080
MEM 467.191406 1589777264.1088
MEM 470.914062 1589777264.2095
MEM 478.394531 1589777264.3103
MEM 484.992188 1589777264.4107
MEM 491.292969 1589777264.5115
MEM 497.738281 1589777264.6122
MEM 500.914062 1589777264.7130
MEM 507.113281 1589777264.8136
MEM 514.273438 1589777264.9143
MEM 520.394531 1589777265.0150
MEM 526.324219 1589777265.1157
MEM 530.042969 1589777265.2165
MEM 535.511719 1589777265.3172
MEM 540.718750 1589777265.4180
MEM 547.468750 1589777265.5185
MEM 554.070312 1589777265.6192
MEM 557.410156 1589777265.7199
MEM 561.902344 1589777265.8202
MEM 561.902344 1589777265.9209
MEM 528.355469 1589777266.0216
MEM 467.578125 1589777266.1224
MEM 463.460938 1589777266.2231
MEM 463.460938 1589777266.3239
MEM 463.460938 1589777266.4246
MEM 463.460938 1589777266.5254
MEM 463.460938 1589777266.6256
MEM 463.460938 1589777266.7256
MEM 463.460938 1589777266.8265
MEM 463.460938 1589777266.9266
MEM 463.460938 1589777267.0266
MEM 463.460938 1589777267.1266
MEM 379.675781 1589777267.2274
MEM 288.765625 1589777267.3281
MEM 199.429688 1589777267.4288
MEM 109.988281 1589777267.5295
MEM 44.093750 1589777267.6303
