CMDLINE C:\Users\JPMR0\AppData\Local\Programs\Python\Python37-32\python.exe memory_trie.py
MEM 0.488281 1589679630.3547
MEM 10.195312 1589679630.4554
MEM 15.171875 1589679630.5561
MEM 18.496094 1589679630.6569
MEM 23.925781 1589679630.7576
MEM 27.878906 1589679630.8583
MEM 31.003906 1589679630.9590
MEM 33.527344 1589679631.0598
MEM 36.960938 1589679631.1605
MEM 37.292969 1589679631.2613
MEM 37.292969 1589679631.3614
MEM 37.292969 1589679631.4615
MEM 37.292969 1589679631.5619
MEM 37.292969 1589679631.6628
MEM 37.292969 1589679631.7629
MEM 37.292969 1589679631.8629
MEM 37.292969 1589679631.9636
MEM 37.292969 1589679632.0645
MEM 37.292969 1589679632.1653
MEM 37.292969 1589679632.2655
MEM 37.292969 1589679632.3657
MEM 37.292969 1589679632.4665
MEM 37.292969 1589679632.5670
MEM 37.292969 1589679632.6679
MEM 37.292969 1589679632.7685
MEM 37.292969 1589679632.8685
MEM 37.292969 1589679632.9686
MEM 37.292969 1589679633.0691
MEM 37.292969 1589679633.1697
MEM 37.292969 1589679633.2707
MEM 37.292969 1589679633.3711
MEM 37.292969 1589679633.4715
MEM 37.292969 1589679633.5723
MEM 37.292969 1589679633.6730
MEM 37.292969 1589679633.7743
MEM 37.292969 1589679633.8744
MEM 37.292969 1589679633.9752
MEM 37.292969 1589679634.0762
MEM 38.046875 1589679634.1772
MEM 42.941406 1589679634.2779
MEM 49.046875 1589679634.3786
MEM 54.230469 1589679634.4794
MEM 58.945312 1589679634.5801
MEM 64.171875 1589679634.6809
MEM 70.953125 1589679634.7816
MEM 74.675781 1589679634.8823
MEM 81.859375 1589679634.9826
MEM 86.296875 1589679635.0833
MEM 93.546875 1589679635.1840
MEM 95.359375 1589679635.2848
MEM 103.296875 1589679635.3855
MEM 110.046875 1589679635.4862
MEM 111.671875 1589679635.5870
MEM 119.949219 1589679635.6878
MEM 128.171875 1589679635.7885
MEM 129.671875 1589679635.8892
MEM 134.671875 1589679635.9899
MEM 142.984375 1589679636.0907
MEM 151.320312 1589679636.1915
MEM 153.882812 1589679636.2922
MEM 155.632812 1589679636.3930
MEM 163.695312 1589679636.4937
MEM 171.632812 1589679636.5944
MEM 179.484375 1589679636.6952
MEM 184.707031 1589679636.7959
MEM 184.707031 1589679636.8966
MEM 188.695312 1589679636.9974
MEM 196.570312 1589679637.0981
MEM 204.445312 1589679637.1988
MEM 211.820312 1589679637.2995
MEM 219.988281 1589679637.4003
MEM 222.695312 1589679637.5010
MEM 222.695312 1589679637.6017
MEM 225.570312 1589679637.7024
MEM 232.695312 1589679637.8032
MEM 239.882812 1589679637.9039
MEM 245.507812 1589679638.0041
MEM 245.507812 1589679638.1044
MEM 245.507812 1589679638.2044
MEM 245.507812 1589679638.3051
MEM 245.507812 1589679638.4052
MEM 245.507812 1589679638.5058
MEM 245.507812 1589679638.6059
MEM 245.507812 1589679638.7067
MEM 245.507812 1589679638.8073
MEM 245.507812 1589679638.9075
MEM 245.507812 1589679639.0079
MEM 245.507812 1589679639.1088
MEM 245.507812 1589679639.2096
MEM 245.507812 1589679639.3103
MEM 245.507812 1589679639.4105
MEM 245.507812 1589679639.5109
MEM 245.507812 1589679639.6113
MEM 245.507812 1589679639.7121
MEM 245.507812 1589679639.8126
MEM 245.507812 1589679639.9134
MEM 245.507812 1589679640.0136
MEM 245.507812 1589679640.1139
MEM 245.507812 1589679640.2144
MEM 245.507812 1589679640.3144
MEM 245.507812 1589679640.4152
MEM 245.507812 1589679640.5158
MEM 245.507812 1589679640.6170
MEM 245.507812 1589679640.7172
MEM 245.507812 1589679640.8182
MEM 245.507812 1589679640.9189
MEM 248.273438 1589679641.0197
MEM 255.945312 1589679641.1204
MEM 262.757812 1589679641.2211
MEM 269.820312 1589679641.3218
MEM 270.195312 1589679641.4226
MEM 270.195312 1589679641.5233
MEM 270.195312 1589679641.6240
MEM 277.445312 1589679641.7247
MEM 285.296875 1589679641.8255
MEM 293.125000 1589679641.9262
MEM 300.664062 1589679642.0269
MEM 308.562500 1589679642.1277
MEM 316.187500 1589679642.2284
MEM 323.937500 1589679642.3292
MEM 329.812500 1589679642.4299
MEM 329.812500 1589679642.5306
MEM 329.812500 1589679642.6314
MEM 329.812500 1589679642.7321
MEM 333.000000 1589679642.8328
MEM 340.929688 1589679642.9335
MEM 348.378906 1589679643.0342
MEM 355.878906 1589679643.1350
MEM 363.882812 1589679643.2357
MEM 371.632812 1589679643.3364
MEM 379.148438 1589679643.4373
MEM 386.820312 1589679643.5380
MEM 394.019531 1589679643.6388
MEM 401.707031 1589679643.7395
MEM 404.644531 1589679643.8402
MEM 404.644531 1589679643.9410
MEM 404.644531 1589679644.0417
MEM 404.644531 1589679644.1424
MEM 404.644531 1589679644.2432
MEM 411.144531 1589679644.3439
MEM 418.519531 1589679644.4447
MEM 425.769531 1589679644.5454
MEM 432.476562 1589679644.6461
MEM 438.582031 1589679644.7468
MEM 446.085938 1589679644.8476
MEM 450.425781 1589679644.9483
MEM 450.425781 1589679645.0484
MEM 450.425781 1589679645.1492
MEM 450.425781 1589679645.2498
MEM 450.425781 1589679645.3503
MEM 450.425781 1589679645.4504
MEM 450.425781 1589679645.5511
MEM 450.425781 1589679645.6517
MEM 450.425781 1589679645.7517
MEM 450.425781 1589679645.8524
MEM 450.425781 1589679645.9533
MEM 450.425781 1589679646.0541
MEM 450.425781 1589679646.1546
MEM 450.425781 1589679646.2551
MEM 450.425781 1589679646.3551
MEM 450.425781 1589679646.4553
MEM 450.425781 1589679646.5562
MEM 450.425781 1589679646.6566
MEM 450.425781 1589679646.7575
MEM 450.425781 1589679646.8582
MEM 450.425781 1589679646.9585
MEM 450.425781 1589679647.0594
MEM 450.425781 1589679647.1601
MEM 450.425781 1589679647.2608
MEM 450.425781 1589679647.3610
MEM 450.425781 1589679647.4614
MEM 450.425781 1589679647.5624
MEM 450.425781 1589679647.6631
MEM 450.425781 1589679647.7637
MEM 450.425781 1589679647.8637
MEM 450.441406 1589679647.9639
MEM 450.441406 1589679648.0647
MEM 450.441406 1589679648.1654
MEM 450.441406 1589679648.2661
MEM 450.441406 1589679648.3668
MEM 450.441406 1589679648.4676
MEM 450.441406 1589679648.5683
MEM 450.441406 1589679648.6691
MEM 450.441406 1589679648.7698
MEM 450.441406 1589679648.8706
MEM 450.441406 1589679648.9713
MEM 450.441406 1589679649.0720
MEM 450.441406 1589679649.1727
MEM 450.441406 1589679649.2735
MEM 450.441406 1589679649.3742
MEM 450.441406 1589679649.4749
MEM 450.441406 1589679649.5757
MEM 450.441406 1589679649.6764
MEM 450.441406 1589679649.7771
MEM 450.441406 1589679649.8779
MEM 450.441406 1589679649.9786
MEM 450.441406 1589679650.0793
MEM 450.441406 1589679650.1800
MEM 450.441406 1589679650.2808
MEM 450.441406 1589679650.3815
MEM 450.441406 1589679650.4822
MEM 450.441406 1589679650.5829
MEM 450.441406 1589679650.6837
MEM 450.441406 1589679650.7844
MEM 450.441406 1589679650.8852
MEM 450.441406 1589679650.9859
MEM 450.441406 1589679651.0866
MEM 450.441406 1589679651.1873
MEM 450.441406 1589679651.2881
MEM 450.441406 1589679651.3888
MEM 450.441406 1589679651.4894
MEM 450.441406 1589679651.5903
MEM 450.441406 1589679651.6904
MEM 450.441406 1589679651.7910
MEM 450.441406 1589679651.8914
MEM 450.441406 1589679651.9922
MEM 450.441406 1589679652.0928
MEM 450.441406 1589679652.1930
MEM 450.441406 1589679652.2935
MEM 450.441406 1589679652.3942
MEM 450.441406 1589679652.4944
MEM 450.441406 1589679652.5945
MEM 450.441406 1589679652.6947
MEM 450.441406 1589679652.7953
MEM 450.441406 1589679652.8963
MEM 450.441406 1589679652.9965
MEM 450.441406 1589679653.0965
MEM 450.441406 1589679653.1966
MEM 450.441406 1589679653.2968
MEM 450.441406 1589679653.3979
MEM 450.441406 1589679653.4983
MEM 450.441406 1589679653.5991
MEM 450.441406 1589679653.6992
MEM 450.441406 1589679653.7998
MEM 450.441406 1589679653.9001
MEM 450.441406 1589679654.0008
MEM 450.441406 1589679654.1014
MEM 450.441406 1589679654.2021
MEM 450.441406 1589679654.3027
MEM 450.441406 1589679654.4028
MEM 450.441406 1589679654.5033
MEM 450.441406 1589679654.6040
MEM 450.441406 1589679654.7047
MEM 450.441406 1589679654.8055
MEM 450.441406 1589679654.9062
MEM 450.441406 1589679655.0069
MEM 450.441406 1589679655.1077
MEM 450.441406 1589679655.2084
MEM 450.441406 1589679655.3091
MEM 450.441406 1589679655.4100
MEM 450.441406 1589679655.5107
MEM 450.441406 1589679655.6114
MEM 450.441406 1589679655.7122
MEM 450.441406 1589679655.8129
MEM 450.441406 1589679655.9136
MEM 450.441406 1589679656.0143
MEM 450.441406 1589679656.1151
MEM 450.441406 1589679656.2158
MEM 450.441406 1589679656.3166
MEM 450.441406 1589679656.4168
MEM 450.441406 1589679656.5175
MEM 450.441406 1589679656.6182
MEM 450.441406 1589679656.7190
MEM 450.441406 1589679656.8197
MEM 450.441406 1589679656.9204
MEM 450.441406 1589679657.0211
MEM 450.441406 1589679657.1219
MEM 450.441406 1589679657.2226
MEM 450.441406 1589679657.3233
MEM 450.441406 1589679657.4237
MEM 450.441406 1589679657.5245
MEM 450.441406 1589679657.6252
MEM 450.441406 1589679657.7259
MEM 450.441406 1589679657.8268
MEM 450.441406 1589679657.9275
MEM 450.441406 1589679658.0282
MEM 450.441406 1589679658.1289
MEM 450.441406 1589679658.2297
MEM 450.441406 1589679658.3297
MEM 450.441406 1589679658.4299
MEM 450.441406 1589679658.5307
MEM 450.441406 1589679658.6308
MEM 450.441406 1589679658.7316
MEM 450.441406 1589679658.8323
MEM 450.441406 1589679658.9332
MEM 450.441406 1589679659.0333
MEM 450.441406 1589679659.1336
MEM 450.441406 1589679659.2345
MEM 450.441406 1589679659.3352
MEM 450.441406 1589679659.4360
MEM 450.441406 1589679659.5362
MEM 450.441406 1589679659.6368
MEM 450.441406 1589679659.7379
MEM 450.441406 1589679659.8382
MEM 450.441406 1589679659.9385
MEM 450.441406 1589679660.0386
MEM 450.441406 1589679660.1388
MEM 450.441406 1589679660.2389
MEM 450.441406 1589679660.3392
MEM 450.492188 1589679660.4394
MEM 450.492188 1589679660.5395
MEM 450.492188 1589679660.6405
MEM 450.492188 1589679660.7406
MEM 450.492188 1589679660.8409
MEM 450.492188 1589679660.9416
MEM 450.492188 1589679661.0423
MEM 450.492188 1589679661.1430
MEM 450.492188 1589679661.2438
MEM 450.492188 1589679661.3445
MEM 450.492188 1589679661.4453
MEM 448.816406 1589679661.5460
MEM 371.816406 1589679661.6467
MEM 37.851562 1589679661.7474
