CMDLINE C:\Users\JPMR0\AppData\Local\Programs\Python\Python37-32\python.exe memory_MDA.py
MEM 54.628906 1589729624.3892
MEM 54.875000 1589729624.4899
MEM 55.128906 1589729624.5906
MEM 55.378906 1589729624.6914
MEM 55.628906 1589729624.7921
MEM 55.878906 1589729624.8928
MEM 56.128906 1589729624.9935
MEM 56.210938 1589729625.0939
MEM 56.210938 1589729625.1944
MEM 56.210938 1589729625.2945
MEM 56.210938 1589729625.3948
MEM 56.210938 1589729625.4951
MEM 56.210938 1589729625.5959
MEM 56.210938 1589729625.6963
MEM 56.210938 1589729625.7970
MEM 56.210938 1589729625.8979
MEM 56.210938 1589729625.9986
MEM 56.210938 1589729626.0993
MEM 56.210938 1589729626.1997
MEM 56.210938 1589729626.3000
MEM 56.210938 1589729626.4004
MEM 56.210938 1589729626.5015
MEM 56.210938 1589729626.6019
MEM 56.210938 1589729626.7028
MEM 56.210938 1589729626.8035
MEM 56.210938 1589729626.9043
MEM 56.210938 1589729627.0044
MEM 56.210938 1589729627.1048
MEM 56.210938 1589729627.2051
MEM 56.210938 1589729627.3059
MEM 56.210938 1589729627.4063
MEM 56.210938 1589729627.5063
MEM 56.210938 1589729627.6074
MEM 56.210938 1589729627.7080
MEM 56.210938 1589729627.8082
MEM 56.210938 1589729627.9088
MEM 56.210938 1589729628.0094
MEM 46.460938 1589729628.1097
MEM 40.960938 1589729628.2097
MEM 40.960938 1589729628.3105
MEM 40.960938 1589729628.4113
MEM 40.960938 1589729628.5119
MEM 40.960938 1589729628.6128
MEM 40.960938 1589729628.7131
MEM 40.960938 1589729628.8136
MEM 40.960938 1589729628.9144
MEM 40.960938 1589729629.0150
MEM 40.960938 1589729629.1157
MEM 40.960938 1589729629.2167
MEM 40.960938 1589729629.3173
MEM 40.960938 1589729629.4178
MEM 40.960938 1589729629.5186
MEM 40.960938 1589729629.6190
MEM 40.960938 1589729629.7199
MEM 40.960938 1589729629.8207
MEM 40.960938 1589729629.9214
MEM 40.960938 1589729630.0221
MEM 40.960938 1589729630.1229
MEM 40.960938 1589729630.2230
MEM 40.960938 1589729630.3233
MEM 40.960938 1589729630.4238
MEM 40.960938 1589729630.5242
MEM 40.960938 1589729630.6247
MEM 40.960938 1589729630.7248
MEM 40.960938 1589729630.8255
MEM 40.960938 1589729630.9266
MEM 40.960938 1589729631.0267
MEM 40.960938 1589729631.1271
MEM 44.777344 1589729631.2275
MEM 44.882812 1589729631.3283
MEM 45.007812 1589729631.4290
MEM 45.132812 1589729631.5297
MEM 45.261719 1589729631.6305
MEM 45.445312 1589729631.7311
MEM 45.539062 1589729631.8319
MEM 45.695312 1589729631.9326
MEM 45.789062 1589729632.0333
MEM 45.882812 1589729632.1341
MEM 46.007812 1589729632.2348
MEM 46.132812 1589729632.3356
MEM 46.257812 1589729632.4363
MEM 46.382812 1589729632.5370
MEM 46.507812 1589729632.6377
MEM 46.632812 1589729632.7405
MEM 46.695312 1589729632.8412
MEM 46.777344 1589729632.9419
MEM 46.945312 1589729633.0426
MEM 47.023438 1589729633.1434
MEM 47.195312 1589729633.2441
MEM 47.300781 1589729633.3449
MEM 47.445312 1589729633.4456
MEM 47.632812 1589729633.5463
MEM 47.695312 1589729633.6471
MEM 47.816406 1589729633.7478
MEM 48.007812 1589729633.8485
MEM 48.132812 1589729633.9492
MEM 48.257812 1589729634.0500
MEM 48.382812 1589729634.1507
MEM 48.445312 1589729634.2514
MEM 48.632812 1589729634.3516
MEM 48.757812 1589729634.4524
MEM 48.882812 1589729634.5531
MEM 48.960938 1589729634.6539
MEM 49.050781 1589729634.7546
MEM 49.195312 1589729634.8553
MEM 49.292969 1589729634.9560
MEM 49.445312 1589729635.0568
MEM 49.554688 1589729635.1575
MEM 49.695312 1589729635.2622
MEM 49.800781 1589729635.3629
MEM 49.945312 1589729635.4637
MEM 50.132812 1589729635.5644
MEM 50.167969 1589729635.6651
MEM 50.257812 1589729635.7659
MEM 50.382812 1589729635.8666
MEM 50.507812 1589729635.9673
MEM 50.632812 1589729636.0681
MEM 50.761719 1589729636.1688
MEM 50.882812 1589729636.2695
MEM 50.945312 1589729636.3702
MEM 51.066406 1589729636.4710
MEM 51.257812 1589729636.5717
MEM 51.382812 1589729636.6724
MEM 51.507812 1589729636.7732
MEM 51.632812 1589729636.8739
MEM 51.757812 1589729636.9746
MEM 51.820312 1589729637.0793
MEM 51.945312 1589729637.1801
MEM 52.007812 1589729637.2828
MEM 52.132812 1589729637.3835
MEM 52.257812 1589729637.4843
MEM 52.382812 1589729637.5850
MEM 52.445312 1589729637.6858
MEM 52.566406 1589729637.7865
MEM 52.695312 1589729637.8872
MEM 52.820312 1589729637.9879
MEM 52.953125 1589729638.0886
MEM 53.132812 1589729638.1894
MEM 53.257812 1589729638.2901
MEM 53.382812 1589729638.3909
MEM 53.507812 1589729638.4916
MEM 53.632812 1589729638.5923
MEM 53.757812 1589729638.6930
MEM 53.882812 1589729638.7938
MEM 54.007812 1589729638.8945
MEM 54.195312 1589729638.9952
MEM 54.296875 1589729639.0960
MEM 54.445312 1589729639.1967
MEM 54.558594 1589729639.2974
MEM 54.695312 1589729639.3982
MEM 54.785156 1589729639.4989
MEM 54.945312 1589729639.5996
MEM 55.035156 1589729639.7004
MEM 55.195312 1589729639.8011
MEM 55.308594 1589729639.9018
MEM 55.445312 1589729640.0025
MEM 55.632812 1589729640.1033
MEM 55.757812 1589729640.2040
MEM 55.882812 1589729640.3047
MEM 56.007812 1589729640.4055
MEM 56.132812 1589729640.5062
MEM 56.257812 1589729640.6070
MEM 56.382812 1589729640.7127
MEM 56.445312 1589729640.8144
MEM 56.515625 1589729640.9151
MEM 56.632812 1589729641.0159
MEM 56.773438 1589729641.1166
MEM 56.945312 1589729641.2173
MEM 57.011719 1589729641.3180
MEM 57.132812 1589729641.4188
MEM 57.261719 1589729641.5195
MEM 57.382812 1589729641.6202
MEM 57.507812 1589729641.7209
MEM 57.632812 1589729641.8217
MEM 57.757812 1589729641.9224
MEM 57.882812 1589729642.0232
MEM 58.011719 1589729642.1239
MEM 58.132812 1589729642.2246
MEM 58.261719 1589729642.3253
MEM 58.382812 1589729642.4261
MEM 58.507812 1589729642.5268
MEM 58.511719 1589729642.6275
MEM 58.632812 1589729642.7283
MEM 58.757812 1589729642.8285
MEM 58.812500 1589729642.9293
MEM 58.945312 1589729643.0300
MEM 59.011719 1589729643.1307
MEM 59.132812 1589729643.2314
MEM 59.257812 1589729643.3321
MEM 59.382812 1589729643.4329
MEM 59.507812 1589729643.5336
MEM 59.695312 1589729643.6343
MEM 59.773438 1589729643.7351
MEM 59.945312 1589729643.8358
MEM 60.031250 1589729643.9365
MEM 60.195312 1589729644.0373
MEM 60.285156 1589729644.1380
MEM 60.445312 1589729644.2388
MEM 60.539062 1589729644.3395
MEM 60.683594 1589729644.4402
MEM 60.808594 1589729644.5410
MEM 61.007812 1589729644.6417
MEM 61.132812 1589729644.7424
MEM 61.257812 1589729644.8431
MEM 61.433594 1589729644.9438
MEM 61.558594 1589729645.0446
MEM 61.683594 1589729645.1453
MEM 61.828125 1589729645.2460
MEM 61.996094 1589729645.3468
MEM 62.109375 1589729645.4475
MEM 62.308594 1589729645.5483
MEM 62.433594 1589729645.6490
MEM 62.558594 1589729645.7497
MEM 62.683594 1589729645.8505
MEM 62.808594 1589729645.9512
MEM 62.933594 1589729646.0519
MEM 63.058594 1589729646.1526
MEM 63.183594 1589729646.2534
MEM 63.308594 1589729646.3541
MEM 63.433594 1589729646.4548
MEM 63.558594 1589729646.5556
MEM 63.746094 1589729646.6563
MEM 63.824219 1589729646.7571
MEM 63.996094 1589729646.8578
MEM 64.097656 1589729646.9585
MEM 64.246094 1589729647.0592
MEM 64.371094 1589729647.1600
MEM 64.558594 1589729647.2607
MEM 64.683594 1589729647.3615
MEM 64.808594 1589729647.4621
MEM 64.933594 1589729647.5629
MEM 65.058594 1589729647.6636
MEM 65.078125 1589729647.7643
MEM 65.183594 1589729647.8651
MEM 65.308594 1589729647.9658
MEM 65.433594 1589729648.0666
MEM 65.566406 1589729648.1673
MEM 65.683594 1589729648.2680
MEM 65.808594 1589729648.3687
MEM 65.933594 1589729648.4695
MEM 66.058594 1589729648.5702
MEM 66.183594 1589729648.6709
MEM 66.308594 1589729648.7716
MEM 66.433594 1589729648.8724
MEM 66.558594 1589729648.9731
MEM 66.609375 1589729649.0738
MEM 66.746094 1589729649.1746
MEM 66.847656 1589729649.2753
MEM 66.996094 1589729649.3760
MEM 67.113281 1589729649.4768
MEM 67.246094 1589729649.5775
MEM 67.433594 1589729649.6782
MEM 67.496094 1589729649.7790
MEM 67.683594 1589729649.8797
MEM 67.808594 1589729649.9804
MEM 67.859375 1589729650.0812
MEM 67.996094 1589729650.1819
MEM 68.089844 1589729650.2826
MEM 68.246094 1589729650.3833
MEM 68.371094 1589729650.4841
MEM 68.558594 1589729650.5848
MEM 68.683594 1589729650.6855
MEM 68.746094 1589729650.7863
MEM 68.933594 1589729650.8870
MEM 69.058594 1589729650.9877
MEM 69.183594 1589729651.0885
MEM 69.308594 1589729651.1892
MEM 69.433594 1589729651.2899
MEM 69.558594 1589729651.3906
MEM 69.683594 1589729651.4914
MEM 69.808594 1589729651.5921
MEM 69.933594 1589729651.6929
MEM 70.070312 1589729651.7936
MEM 70.246094 1589729651.8943
MEM 70.355469 1589729651.9951
MEM 70.496094 1589729652.0958
MEM 70.683594 1589729652.1965
MEM 70.808594 1589729652.2972
MEM 70.933594 1589729652.3980
MEM 71.058594 1589729652.4987
MEM 71.183594 1589729652.5994
MEM 71.308594 1589729652.7001
MEM 71.433594 1589729652.8009
MEM 71.558594 1589729652.9016
MEM 71.683594 1589729653.0024
MEM 71.808594 1589729653.1031
MEM 71.933594 1589729653.2038
MEM 72.058594 1589729653.3046
MEM 72.183594 1589729653.4053
