CMDLINE C:\Users\JPMR0\AppData\Local\Programs\Python\Python37-32\python.exe memory_MDA.py
MEM 0.511719 1589780534.0001
MEM 10.441406 1589780534.1008
MEM 15.613281 1589780534.2015
MEM 21.011719 1589780534.3022
MEM 25.894531 1589780534.4025
MEM 29.625000 1589780534.5032
MEM 32.804688 1589780534.6040
MEM 36.988281 1589780534.7047
MEM 41.937500 1589780534.8054
MEM 42.207031 1589780534.9057
MEM 42.207031 1589780535.0060
MEM 42.207031 1589780535.1067
MEM 42.207031 1589780535.2069
MEM 42.207031 1589780535.3107
MEM 42.207031 1589780535.4110
MEM 42.207031 1589780535.5112
MEM 42.207031 1589780535.6113
MEM 42.207031 1589780535.7114
MEM 42.207031 1589780535.8120
MEM 42.207031 1589780535.9126
MEM 42.207031 1589780536.0135
MEM 42.207031 1589780536.1143
MEM 42.207031 1589780536.2144
MEM 42.207031 1589780536.3145
MEM 42.207031 1589780536.4152
MEM 42.207031 1589780536.5161
MEM 42.207031 1589780536.6162
MEM 42.207031 1589780536.7165
MEM 42.207031 1589780536.8167
MEM 42.207031 1589780536.9176
MEM 42.207031 1589780537.0186
MEM 42.207031 1589780537.1194
MEM 42.207031 1589780537.2196
MEM 42.207031 1589780537.3198
MEM 42.207031 1589780537.4199
MEM 42.207031 1589780537.5205
MEM 42.207031 1589780537.6212
MEM 42.207031 1589780537.7219
MEM 42.207031 1589780537.8227
MEM 42.441406 1589780537.9234
MEM 43.019531 1589780538.0242
MEM 43.519531 1589780538.1249
MEM 44.019531 1589780538.2256
MEM 44.457031 1589780538.3263
MEM 45.019531 1589780538.4270
MEM 45.519531 1589780538.5278
MEM 46.019531 1589780538.6280
MEM 46.582031 1589780538.7288
MEM 47.082031 1589780538.8295
MEM 47.609375 1589780538.9302
MEM 48.144531 1589780539.0311
MEM 48.707031 1589780539.1318
MEM 49.269531 1589780539.2326
MEM 49.769531 1589780539.3333
MEM 50.269531 1589780539.4340
MEM 50.632812 1589780539.5347
MEM 51.082031 1589780539.6355
MEM 51.519531 1589780539.7362
MEM 51.855469 1589780539.8369
MEM 52.332031 1589780539.9377
MEM 52.707031 1589780540.0384
MEM 53.101562 1589780540.1391
MEM 53.519531 1589780540.2399
MEM 54.082031 1589780540.3406
MEM 54.582031 1589780540.4413
MEM 55.089844 1589780540.5416
MEM 55.621094 1589780540.6423
MEM 56.144531 1589780540.7431
MEM 56.707031 1589780540.8439
MEM 57.207031 1589780540.9446
MEM 57.207031 1589780541.0450
MEM 57.207031 1589780541.1454
MEM 57.207031 1589780541.2460
MEM 57.207031 1589780541.3466
MEM 57.207031 1589780541.4466
MEM 57.207031 1589780541.5471
MEM 57.207031 1589780541.6477
MEM 57.207031 1589780541.7477
MEM 57.207031 1589780541.8481
MEM 57.207031 1589780541.9488
MEM 57.207031 1589780542.0495
MEM 57.207031 1589780542.1501
MEM 57.207031 1589780542.2501
MEM 57.207031 1589780542.3505
MEM 57.207031 1589780542.4511
MEM 57.207031 1589780542.5516
MEM 57.207031 1589780542.6525
MEM 57.207031 1589780542.7528
MEM 57.207031 1589780542.8535
MEM 57.207031 1589780542.9543
MEM 57.207031 1589780543.0550
MEM 57.207031 1589780543.1557
MEM 57.207031 1589780543.2563
MEM 57.207031 1589780543.3565
MEM 57.207031 1589780543.4570
MEM 57.207031 1589780543.5579
MEM 57.207031 1589780543.6580
MEM 57.207031 1589780543.7584
MEM 57.207031 1589780543.8587
MEM 55.769531 1589780543.9590
MEM 42.519531 1589780544.0597
MEM 42.519531 1589780544.1605
MEM 42.519531 1589780544.2614
MEM 42.519531 1589780544.3621
MEM 42.519531 1589780544.4628
MEM 42.519531 1589780544.5635
MEM 42.519531 1589780544.6644
MEM 42.519531 1589780544.7651
MEM 42.519531 1589780544.8658
MEM 42.519531 1589780544.9663
MEM 42.519531 1589780545.0670
MEM 42.519531 1589780545.1671
MEM 42.519531 1589780545.2678
MEM 42.519531 1589780545.3685
MEM 42.519531 1589780545.4693
MEM 42.519531 1589780545.5700
MEM 42.519531 1589780545.6707
MEM 42.519531 1589780545.7714
MEM 42.519531 1589780545.8722
MEM 42.519531 1589780545.9729
MEM 42.519531 1589780546.0736
MEM 42.519531 1589780546.1744
MEM 42.519531 1589780546.2752
MEM 42.519531 1589780546.3758
MEM 42.519531 1589780546.4766
MEM 42.519531 1589780546.5768
MEM 42.519531 1589780546.6775
MEM 42.519531 1589780546.7782
MEM 42.519531 1589780546.8789
MEM 42.519531 1589780546.9796
MEM 44.457031 1589780547.0804
MEM 46.832031 1589780547.1811
MEM 46.832031 1589780547.2818
MEM 46.832031 1589780547.3826
MEM 46.832031 1589780547.4833
MEM 46.832031 1589780547.5840
MEM 46.832031 1589780547.6848
MEM 46.832031 1589780547.7855
MEM 46.832031 1589780547.8863
MEM 46.832031 1589780547.9870
MEM 46.832031 1589780548.0877
MEM 46.832031 1589780548.1884
MEM 46.832031 1589780548.2892
MEM 46.832031 1589780548.3899
MEM 46.832031 1589780548.4906
MEM 46.832031 1589780548.5913
MEM 46.832031 1589780548.6921
MEM 46.832031 1589780548.7928
MEM 46.832031 1589780548.8935
MEM 46.832031 1589780548.9939
MEM 46.832031 1589780549.0946
MEM 46.832031 1589780549.1953
MEM 46.832031 1589780549.2960
MEM 46.832031 1589780549.3967
MEM 46.832031 1589780549.4975
MEM 46.832031 1589780549.5982
MEM 46.832031 1589780549.6989
MEM 46.832031 1589780549.7997
MEM 46.832031 1589780549.9001
MEM 46.832031 1589780550.0009
MEM 46.832031 1589780550.1015
MEM 46.832031 1589780550.2023
MEM 46.832031 1589780550.3030
MEM 46.832031 1589780550.4037
MEM 46.832031 1589780550.5045
MEM 46.832031 1589780550.6052
MEM 46.929688 1589780550.7059
MEM 47.144531 1589780550.8067
MEM 47.269531 1589780550.9074
MEM 47.398438 1589780551.0082
MEM 47.582031 1589780551.1088
MEM 47.703125 1589780551.2096
MEM 47.894531 1589780551.3103
MEM 48.019531 1589780551.4110
MEM 48.144531 1589780551.5118
MEM 48.269531 1589780551.6125
MEM 48.414062 1589780551.7133
MEM 48.582031 1589780551.8140
MEM 48.671875 1589780551.9147
MEM 48.832031 1589780552.0154
MEM 49.019531 1589780552.1162
MEM 49.144531 1589780552.2169
MEM 49.269531 1589780552.3177
MEM 49.417969 1589780552.4184
MEM 49.582031 1589780552.5191
MEM 49.769531 1589780552.6198
MEM 49.894531 1589780552.7205
MEM 50.082031 1589780552.8213
MEM 50.171875 1589780552.9220
MEM 50.332031 1589780553.0227
MEM 50.484375 1589780553.1235
MEM 50.644531 1589780553.2242
MEM 50.832031 1589780553.3249
MEM 50.945312 1589780553.4257
MEM 51.144531 1589780553.5264
MEM 51.269531 1589780553.6271
MEM 51.406250 1589780553.7279
MEM 51.582031 1589780553.8287
MEM 51.769531 1589780553.9294
MEM 51.894531 1589780554.0297
MEM 52.082031 1589780554.1305
MEM 52.199219 1589780554.2312
MEM 52.394531 1589780554.3320
MEM 52.484375 1589780554.4326
MEM 52.644531 1589780554.5334
MEM 52.832031 1589780554.6342
MEM 52.937500 1589780554.7349
MEM 53.082031 1589780554.8356
MEM 53.179688 1589780554.9363
MEM 53.394531 1589780555.0371
MEM 53.519531 1589780555.1378
MEM 53.660156 1589780555.2386
MEM 53.832031 1589780555.3393
MEM 53.949219 1589780555.4401
MEM 54.144531 1589780555.5408
MEM 54.269531 1589780555.6415
MEM 54.414062 1589780555.7423
MEM 54.582031 1589780555.8430
MEM 54.769531 1589780555.9437
MEM 54.902344 1589780556.0445
MEM 55.082031 1589780556.1452
MEM 55.269531 1589780556.2459
MEM 55.394531 1589780556.3466
MEM 55.519531 1589780556.4474
MEM 55.648438 1589780556.5481
MEM 55.832031 1589780556.6488
MEM 55.925781 1589780556.7496
MEM 56.082031 1589780556.8503
MEM 56.195312 1589780556.9510
MEM 56.394531 1589780557.0518
MEM 56.472656 1589780557.1525
MEM 56.644531 1589780557.2532
MEM 56.769531 1589780557.3539
MEM 56.894531 1589780557.4547
MEM 57.019531 1589780557.5554
MEM 57.164062 1589780557.6561
MEM 57.332031 1589780557.7569
MEM 57.519531 1589780557.8572
MEM 57.644531 1589780557.9579
MEM 57.832031 1589780558.0586
MEM 58.019531 1589780558.1593
MEM 58.144531 1589780558.2601
MEM 58.332031 1589780558.3608
MEM 58.394531 1589780558.4615
MEM 58.582031 1589780558.5623
MEM 58.769531 1589780558.6630
MEM 58.894531 1589780558.7637
MEM 59.019531 1589780558.8645
MEM 59.171875 1589780558.9652
MEM 59.332031 1589780559.0660
MEM 59.519531 1589780559.1667
MEM 59.644531 1589780559.2674
MEM 59.832031 1589780559.3682
MEM 59.917969 1589780559.4689
MEM 60.082031 1589780559.5696
MEM 60.199219 1589780559.6703
MEM 60.394531 1589780559.7710
MEM 60.492188 1589780559.8718
MEM 60.644531 1589780559.9735
MEM 60.679688 1589780560.0812
MEM 60.832031 1589780560.1819
MEM 60.894531 1589780560.2827
MEM 61.082031 1589780560.3834
MEM 61.199219 1589780560.4841
MEM 61.394531 1589780560.5849
MEM 61.519531 1589780560.6856
MEM 61.582031 1589780560.7863
MEM 61.683594 1589780560.8871
MEM 61.832031 1589780560.9878
MEM 61.902344 1589780561.0885
MEM 62.082031 1589780561.1893
MEM 62.144531 1589780561.2900
MEM 62.332031 1589780561.3907
MEM 62.445312 1589780561.4914
MEM 62.644531 1589780561.5922
MEM 62.769531 1589780561.6929
MEM 62.894531 1589780561.7931
MEM 63.019531 1589780561.8939
MEM 63.144531 1589780561.9946
MEM 63.269531 1589780562.0953
MEM 63.394531 1589780562.1961
MEM 63.519531 1589780562.2964
MEM 63.644531 1589780562.3971
MEM 63.769531 1589780562.4978
MEM 63.894531 1589780562.5982
MEM 64.082031 1589780562.6989
MEM 64.191406 1589780562.7994
MEM 64.332031 1589780562.9001
MEM 64.417969 1589780563.0008
MEM 64.519531 1589780563.1245
MEM 64.582031 1589780563.2252
MEM 64.695312 1589780563.3260
MEM 64.832031 1589780563.4267
MEM 64.957031 1589780563.5274
MEM 65.082031 1589780563.6282
MEM 65.269531 1589780563.7289
MEM 65.394531 1589780563.8292
MEM 65.410156 1589780563.9359
MEM 65.632812 1589780564.0366
MEM 65.695312 1589780564.1373
MEM 65.882812 1589780564.2381
MEM 65.988281 1589780564.3386
MEM 66.195312 1589780564.4394
MEM 66.242188 1589780564.5401
MEM 66.382812 1589780564.6408
MEM 66.570312 1589780564.7416
MEM 66.695312 1589780564.8423
MEM 66.820312 1589780564.9430
MEM 66.945312 1589780565.0438
MEM 67.132812 1589780565.1445
MEM 67.320312 1589780565.2452
MEM 67.445312 1589780565.3460
MEM 67.570312 1589780565.4467
MEM 67.718750 1589780565.5475
MEM 67.882812 1589780565.6481
MEM 67.968750 1589780565.7489
MEM 68.117188 1589780565.8496
MEM 68.253906 1589780565.9503
MEM 68.382812 1589780566.0512
MEM 68.570312 1589780566.1519
MEM 68.695312 1589780566.2526
MEM 68.820312 1589780566.3534
MEM 68.972656 1589780566.4541
MEM 69.132812 1589780566.5549
MEM 69.320312 1589780566.6556
MEM 69.445312 1589780566.7565
MEM 69.570312 1589780566.8572
MEM 69.695312 1589780566.9579
MEM 69.882812 1589780567.0586
MEM 69.988281 1589780567.1594
MEM 70.117188 1589780567.2601
MEM 70.253906 1589780567.3609
MEM 70.382812 1589780567.4616
MEM 70.570312 1589780567.5623
MEM 70.695312 1589780567.6631
MEM 70.820312 1589780567.7638
MEM 70.945312 1589780567.8645
MEM 71.070312 1589780567.9653
MEM 71.195312 1589780568.0660
MEM 71.382812 1589780568.1707
MEM 71.382812 1589780568.2744
MEM 71.464844 1589780568.3751
MEM 71.632812 1589780568.4759
MEM 71.714844 1589780568.5766
MEM 71.882812 1589780568.6774
MEM 72.070312 1589780568.7781
MEM 72.195312 1589780568.8788
MEM 72.320312 1589780568.9796
MEM 72.449219 1589780569.0803
MEM 72.632812 1589780569.1810
MEM 72.742188 1589780569.2817
MEM 72.945312 1589780569.3825
MEM 73.070312 1589780569.4832
MEM 73.214844 1589780569.5840
MEM 73.382812 1589780569.6847
MEM 73.570312 1589780569.7848
MEM 73.699219 1589780569.8856
MEM 73.882812 1589780569.9863
MEM 74.070312 1589780570.0870
MEM 74.195312 1589780570.1877
MEM 74.320312 1589780570.2885
MEM 74.320312 1589780570.3892
MEM 74.472656 1589780570.4899
MEM 74.632812 1589780570.5907
MEM 74.820312 1589780570.6915
MEM 74.945312 1589780570.7922
MEM 75.070312 1589780570.8939
MEM 75.132812 1589780570.9946
